------------ Data Table File Created By ActiGraph wGT3XBT ActiLife v6.13.4 Firmware v1.9.2 date format dd/MM/yyyy Filter Normal -----------
Serial Number: MOS2E22180147
Start Time 08:00:00
Start Date 26/07/2022
Epoch Period (hh:mm:ss) 00:00:01
Download Time 21:58:45
Download Date 26/07/2022
Current Memory Address: 0
Current Battery Voltage: 4,18     Mode = 61
--------------------------------------------------
Date, Time, Axis1,Axis2,Axis3,Steps,Lux,Inclinometer Off,Inclinometer Standing,Inclinometer Sitting,Inclinometer Lying,Vector Magnitude
26/07/2022,11:52:10,"0","0","0","0","0","1","0","0","0","0"
26/07/2022,11:52:11,"0","0","0","0","0","1","0","0","0","0"
26/07/2022,11:52:12,"0","0","0","0","0","1","0","0","0","0"
26/07/2022,11:52:13,"0","0","0","0","0","1","0","0","0","0"
26/07/2022,11:52:14,"0","0","0","0","0","1","0","0","0","0"
26/07/2022,11:52:15,"0","0","0","0","0","1","0","0","0","0"
26/07/2022,11:52:16,"0","0","0","0","0","1","0","0","0","0"
26/07/2022,11:52:17,"0","0","0","0","0","1","0","0","0","0"
26/07/2022,11:52:18,"0","0","0","0","0","1","0","0","0","0"
26/07/2022,11:52:19,"0","0","0","0","0","1","0","0","0","0"
26/07/2022,11:52:20,"0","0","0","0","0","1","0","0","0","0"
26/07/2022,11:52:21,"0","0","0","0","0","1","0","0","0","0"
26/07/2022,11:52:22,"0","0","0","0","0","1","0","0","0","0"
26/07/2022,11:52:23,"0","0","0","0","0","1","0","0","0","0"
26/07/2022,11:52:24,"0","0","0","0","0","1","0","0","0","0"
26/07/2022,11:52:25,"0","0","0","0","0","1","0","0","0","0"
26/07/2022,11:52:26,"0","0","0","0","0","1","0","0","0","0"
26/07/2022,11:52:27,"0","0","0","0","0","1","0","0","0","0"
26/07/2022,11:52:28,"0","0","0","0","0","1","0","0","0","0"
26/07/2022,11:52:29,"0","0","0","0","0","1","0","0","0","0"
26/07/2022,11:52:30,"0","0","0","0","0","1","0","0","0","0"
26/07/2022,11:52:31,"0","0","0","0","0","1","0","0","0","0"
26/07/2022,11:52:32,"0","0","0","0","0","1","0","0","0","0"
26/07/2022,11:52:33,"0","0","0","0","0","1","0","0","0","0"
26/07/2022,11:52:34,"0","0","0","0","0","1","0","0","0","0"
26/07/2022,11:52:35,"0","0","0","0","0","1","0","0","0","0"
26/07/2022,11:52:36,"0","0","0","0","0","1","0","0","0","0"
26/07/2022,11:52:37,"0","0","0","0","0","1","0","0","0","0"
26/07/2022,11:52:38,"0","0","0","0","0","1","0","0","0","0"
26/07/2022,11:52:39,"0","0","0","0","0","1","0","0","0","0"
26/07/2022,11:52:40,"0","0","0","0","0","1","0","0","0","0"
26/07/2022,11:52:41,"0","0","0","0","0","1","0","0","0","0"
26/07/2022,11:52:42,"0","0","0","0","0","1","0","0","0","0"
26/07/2022,11:52:43,"0","0","0","0","0","1","0","0","0","0"
26/07/2022,11:52:44,"0","0","0","0","0","1","0","0","0","0"
26/07/2022,11:52:45,"0","0","0","0","0","1","0","0","0","0"
26/07/2022,11:52:46,"0","0","0","0","0","1","0","0","0","0"
26/07/2022,11:52:47,"0","0","0","0","0","1","0","0","0","0"
26/07/2022,11:52:48,"0","0","0","0","0","1","0","0","0","0"
26/07/2022,11:52:49,"0","0","0","0","0","1","0","0","0","0"
26/07/2022,11:52:50,"0","0","0","0","0","1","0","0","0","0"
26/07/2022,11:52:51,"0","0","0","0","0","1","0","0","0","0"
26/07/2022,11:52:52,"0","0","0","0","0","1","0","0","0","0"
26/07/2022,11:52:53,"0","0","0","0","0","1","0","0","0","0"
26/07/2022,11:52:54,"0","0","0","0","0","1","0","0","0","0"
26/07/2022,11:52:55,"0","0","0","0","0","1","0","0","0","0"
26/07/2022,11:52:56,"0","0","0","0","0","1","0","0","0","0"
26/07/2022,11:52:57,"0","0","0","0","0","1","0","0","0","0"
26/07/2022,11:52:58,"0","0","0","0","0","1","0","0","0","0"
26/07/2022,11:52:59,"0","0","0","0","0","1","0","0","0","0"
26/07/2022,11:53:00,"0","0","0","0","0","1","0","0","0","0"
26/07/2022,11:53:01,"0","0","0","0","0","1","0","0","0","0"
26/07/2022,11:53:02,"0","0","0","0","0","1","0","0","0","0"
26/07/2022,11:53:03,"0","0","0","0","0","1","0","0","0","0"
26/07/2022,11:53:04,"0","0","0","0","0","1","0","0","0","0"
26/07/2022,11:53:05,"0","0","0","0","0","1","0","0","0","0"
26/07/2022,11:53:06,"0","0","0","0","0","1","0","0","0","0"
26/07/2022,11:53:07,"0","0","0","0","0","1","0","0","0","0"
26/07/2022,11:53:08,"0","0","0","0","0","1","0","0","0","0"
26/07/2022,11:53:09,"0","0","0","0","0","1","0","0","0","0"
26/07/2022,11:53:10,"0","0","0","0","0","1","0","0","0","0"
26/07/2022,11:53:11,"0","0","0","0","0","1","0","0","0","0"
26/07/2022,11:53:12,"0","0","0","0","0","1","0","0","0","0"
26/07/2022,11:53:13,"0","0","0","0","0","1","0","0","0","0"
26/07/2022,11:53:14,"0","0","0","0","0","1","0","0","0","0"
26/07/2022,11:53:15,"0","0","0","0","0","1","0","0","0","0"
26/07/2022,11:53:16,"0","0","0","0","0","1","0","0","0","0"
26/07/2022,11:53:17,"0","0","0","0","0","1","0","0","0","0"
26/07/2022,11:53:18,"0","0","0","0","0","1","0","0","0","0"
26/07/2022,11:53:19,"0","0","0","0","0","1","0","0","0","0"
26/07/2022,11:53:20,"0","0","0","0","0","1","0","0","0","0"
26/07/2022,11:53:21,"0","0","0","0","0","1","0","0","0","0"
26/07/2022,11:53:22,"0","0","0","0","0","1","0","0","0","0"
26/07/2022,11:53:23,"0","0","0","0","0","1","0","0","0","0"
26/07/2022,11:53:24,"0","0","0","0","0","1","0","0","0","0"
26/07/2022,11:53:25,"0","0","0","0","0","1","0","0","0","0"
26/07/2022,11:53:26,"0","0","0","0","0","1","0","0","0","0"
26/07/2022,11:53:27,"0","0","0","0","0","1","0","0","0","0"
26/07/2022,11:53:28,"0","0","0","0","0","1","0","0","0","0"
26/07/2022,11:53:29,"0","0","0","0","0","1","0","0","0","0"
26/07/2022,11:53:30,"0","0","0","0","0","1","0","0","0","0"
26/07/2022,11:53:31,"0","0","0","0","0","1","0","0","0","0"
26/07/2022,11:53:32,"0","0","0","0","0","1","0","0","0","0"
26/07/2022,11:53:33,"0","0","0","0","0","1","0","0","0","0"
26/07/2022,11:53:34,"0","0","0","0","0","1","0","0","0","0"
26/07/2022,11:53:35,"0","0","0","0","0","1","0","0","0","0"
26/07/2022,11:53:36,"0","0","0","0","0","1","0","0","0","0"
26/07/2022,11:53:37,"0","0","0","0","0","1","0","0","0","0"
26/07/2022,11:53:38,"0","0","0","0","0","1","0","0","0","0"
26/07/2022,11:53:39,"0","0","0","0","0","1","0","0","0","0"
26/07/2022,11:53:40,"0","0","0","0","0","1","0","0","0","0"
26/07/2022,11:53:41,"0","0","0","0","0","1","0","0","0","0"
26/07/2022,11:53:42,"0","0","0","0","0","1","0","0","0","0"
26/07/2022,11:53:43,"0","0","0","0","0","1","0","0","0","0"
26/07/2022,11:53:44,"0","0","0","0","0","1","0","0","0","0"
26/07/2022,11:53:45,"0","0","0","0","0","1","0","0","0","0"
26/07/2022,11:53:46,"0","0","0","0","0","1","0","0","0","0"
26/07/2022,11:53:47,"0","0","0","0","0","1","0","0","0","0"
26/07/2022,11:53:48,"0","0","0","0","0","1","0","0","0","0"
26/07/2022,11:53:49,"0","0","0","0","0","1","0","0","0","0"
26/07/2022,11:53:50,"0","0","0","0","0","1","0","0","0","0"
26/07/2022,11:53:51,"0","0","0","0","0","1","0","0","0","0"
26/07/2022,11:53:52,"0","0","0","0","0","1","0","0","0","0"
26/07/2022,11:53:53,"0","0","0","0","0","1","0","0","0","0"
26/07/2022,11:53:54,"0","0","0","0","0","1","0","0","0","0"
26/07/2022,11:53:55,"0","0","0","0","0","1","0","0","0","0"
26/07/2022,11:53:56,"0","0","0","0","0","1","0","0","0","0"
26/07/2022,11:53:57,"0","0","0","0","0","1","0","0","0","0"
26/07/2022,11:53:58,"0","0","0","0","0","1","0","0","0","0"
26/07/2022,11:53:59,"0","0","0","0","0","1","0","0","0","0"
26/07/2022,11:54:00,"0","0","0","0","0","1","0","0","0","0"
26/07/2022,11:54:01,"0","0","0","0","0","1","0","0","0","0"
26/07/2022,11:54:02,"0","0","0","0","0","1","0","0","0","0"
26/07/2022,11:54:03,"0","0","0","0","0","1","0","0","0","0"
26/07/2022,11:54:04,"0","0","0","0","0","1","0","0","0","0"
26/07/2022,11:54:05,"0","0","0","0","0","1","0","0","0","0"
26/07/2022,11:54:06,"0","0","0","0","0","1","0","0","0","0"
26/07/2022,11:54:07,"0","0","0","0","0","1","0","0","0","0"
26/07/2022,11:54:08,"0","0","0","0","0","1","0","0","0","0"
26/07/2022,11:54:09,"0","0","0","0","0","1","0","0","0","0"
26/07/2022,11:54:10,"0","0","0","0","0","1","0","0","0","0"
26/07/2022,11:54:11,"0","0","0","0","0","1","0","0","0","0"
26/07/2022,11:54:12,"0","0","0","0","0","1","0","0","0","0"
26/07/2022,11:54:13,"0","0","0","0","0","1","0","0","0","0"
26/07/2022,11:54:14,"0","0","0","0","0","1","0","0","0","0"
26/07/2022,11:54:15,"0","0","0","0","0","1","0","0","0","0"
26/07/2022,11:54:16,"0","0","0","0","0","1","0","0","0","0"
26/07/2022,11:54:17,"0","0","0","0","0","1","0","0","0","0"
26/07/2022,11:54:18,"0","0","0","0","0","1","0","0","0","0"
26/07/2022,11:54:19,"0","0","0","0","0","1","0","0","0","0"
26/07/2022,11:54:20,"0","0","0","0","0","1","0","0","0","0"
26/07/2022,11:54:21,"0","0","0","0","0","1","0","0","0","0"
26/07/2022,11:54:22,"0","0","0","0","0","1","0","0","0","0"
26/07/2022,11:54:23,"0","0","0","0","0","1","0","0","0","0"
26/07/2022,11:54:24,"0","0","0","0","0","1","0","0","0","0"
26/07/2022,11:54:25,"0","0","0","0","0","1","0","0","0","0"
26/07/2022,11:54:26,"0","0","0","0","0","1","0","0","0","0"
26/07/2022,11:54:27,"0","0","0","0","0","1","0","0","0","0"
26/07/2022,11:54:28,"0","0","0","0","0","1","0","0","0","0"
26/07/2022,11:54:29,"0","0","0","0","0","1","0","0","0","0"
26/07/2022,11:54:30,"0","0","0","0","0","1","0","0","0","0"
26/07/2022,11:54:31,"0","0","0","0","0","1","0","0","0","0"
26/07/2022,11:54:32,"0","0","0","0","0","1","0","0","0","0"
26/07/2022,11:54:33,"0","0","0","0","0","1","0","0","0","0"
26/07/2022,11:54:34,"0","0","0","0","0","1","0","0","0","0"
26/07/2022,11:54:35,"0","0","0","0","0","1","0","0","0","0"
26/07/2022,11:54:36,"0","0","0","0","0","1","0","0","0","0"
26/07/2022,11:54:37,"0","0","0","0","0","1","0","0","0","0"
26/07/2022,11:54:38,"0","0","0","0","0","1","0","0","0","0"
26/07/2022,11:54:39,"0","0","0","0","0","1","0","0","0","0"
26/07/2022,11:54:40,"0","0","0","0","0","1","0","0","0","0"
26/07/2022,11:54:41,"0","0","0","0","0","1","0","0","0","0"
26/07/2022,11:54:42,"0","0","0","0","0","1","0","0","0","0"
26/07/2022,11:54:43,"0","0","0","0","0","1","0","0","0","0"
26/07/2022,11:54:44,"0","0","0","0","0","1","0","0","0","0"
26/07/2022,11:54:45,"0","0","0","0","0","1","0","0","0","0"
26/07/2022,11:54:46,"0","0","0","0","0","1","0","0","0","0"
26/07/2022,11:54:47,"0","0","0","0","0","1","0","0","0","0"
26/07/2022,11:54:48,"0","0","0","0","0","1","0","0","0","0"
26/07/2022,11:54:49,"0","0","0","0","0","1","0","0","0","0"
26/07/2022,11:54:50,"0","0","0","0","0","1","0","0","0","0"
26/07/2022,11:54:51,"0","0","0","0","0","1","0","0","0","0"
26/07/2022,11:54:52,"0","0","0","0","0","1","0","0","0","0"
26/07/2022,11:54:53,"0","0","0","0","0","1","0","0","0","0"
26/07/2022,11:54:54,"0","0","0","0","0","1","0","0","0","0"
26/07/2022,11:54:55,"0","0","0","0","0","1","0","0","0","0"
26/07/2022,11:54:56,"0","0","0","0","0","1","0","0","0","0"
26/07/2022,11:54:57,"0","0","0","0","0","1","0","0","0","0"
26/07/2022,11:54:58,"0","0","0","0","0","1","0","0","0","0"
26/07/2022,11:54:59,"0","0","0","0","0","1","0","0","0","0"
26/07/2022,11:55:00,"0","0","0","0","0","1","0","0","0","0"
26/07/2022,11:55:01,"0","0","0","0","0","1","0","0","0","0"
26/07/2022,11:55:02,"0","0","0","0","0","1","0","0","0","0"
26/07/2022,11:55:03,"0","0","0","0","0","1","0","0","0","0"
26/07/2022,11:55:04,"0","0","0","0","0","1","0","0","0","0"
26/07/2022,11:55:05,"0","0","0","0","0","1","0","0","0","0"
26/07/2022,11:55:06,"0","0","0","0","0","1","0","0","0","0"
26/07/2022,11:55:07,"0","0","0","0","0","1","0","0","0","0"
26/07/2022,11:55:08,"0","0","0","0","0","1","0","0","0","0"
26/07/2022,11:55:09,"0","0","0","0","0","1","0","0","0","0"
26/07/2022,11:55:10,"0","0","0","0","0","1","0","0","0","0"
26/07/2022,11:55:11,"0","0","0","0","0","1","0","0","0","0"
26/07/2022,11:55:12,"0","0","0","0","0","1","0","0","0","0"
26/07/2022,11:55:13,"0","0","0","0","0","1","0","0","0","0"
26/07/2022,11:55:14,"0","0","0","0","0","1","0","0","0","0"
26/07/2022,11:55:15,"0","0","0","0","0","1","0","0","0","0"
26/07/2022,11:55:16,"0","0","0","0","0","1","0","0","0","0"
26/07/2022,11:55:17,"0","0","0","0","0","1","0","0","0","0"
26/07/2022,11:55:18,"0","0","0","0","0","1","0","0","0","0"
26/07/2022,11:55:19,"0","0","0","0","0","1","0","0","0","0"
26/07/2022,11:55:20,"0","0","0","0","0","1","0","0","0","0"
26/07/2022,11:55:21,"0","0","0","0","0","1","0","0","0","0"
26/07/2022,11:55:22,"0","0","0","0","0","1","0","0","0","0"
26/07/2022,11:55:23,"0","0","0","0","0","1","0","0","0","0"
26/07/2022,11:55:24,"0","0","0","0","0","1","0","0","0","0"
26/07/2022,11:55:25,"0","0","0","0","0","1","0","0","0","0"
26/07/2022,11:55:26,"0","0","0","0","0","1","0","0","0","0"
26/07/2022,11:55:27,"0","0","0","0","0","1","0","0","0","0"
26/07/2022,11:55:28,"0","0","0","0","0","1","0","0","0","0"
26/07/2022,11:55:29,"0","0","0","0","0","1","0","0","0","0"
26/07/2022,11:55:30,"0","0","0","0","0","1","0","0","0","0"
26/07/2022,11:55:31,"0","0","0","0","0","1","0","0","0","0"
26/07/2022,11:55:32,"0","0","0","0","0","1","0","0","0","0"
26/07/2022,11:55:33,"0","0","0","0","0","1","0","0","0","0"
26/07/2022,11:55:34,"0","0","0","0","0","1","0","0","0","0"
26/07/2022,11:55:35,"0","0","0","0","0","1","0","0","0","0"
26/07/2022,11:55:36,"0","0","0","0","0","1","0","0","0","0"
26/07/2022,11:55:37,"0","0","0","0","0","1","0","0","0","0"
26/07/2022,11:55:38,"0","0","0","0","0","1","0","0","0","0"
26/07/2022,11:55:39,"0","0","0","0","0","1","0","0","0","0"
26/07/2022,11:55:40,"0","0","0","0","0","1","0","0","0","0"
26/07/2022,11:55:41,"0","0","0","0","0","1","0","0","0","0"
26/07/2022,11:55:42,"0","0","0","0","0","1","0","0","0","0"
26/07/2022,11:55:43,"0","0","0","0","0","1","0","0","0","0"
26/07/2022,11:55:44,"0","0","0","0","0","1","0","0","0","0"
26/07/2022,11:55:45,"0","0","0","0","0","1","0","0","0","0"
26/07/2022,11:55:46,"0","0","0","0","0","1","0","0","0","0"
26/07/2022,11:55:47,"0","0","0","0","0","1","0","0","0","0"
26/07/2022,11:55:48,"0","0","0","0","0","1","0","0","0","0"
26/07/2022,11:55:49,"0","0","0","0","0","1","0","0","0","0"
26/07/2022,11:55:50,"0","0","0","0","0","1","0","0","0","0"
26/07/2022,11:55:51,"0","0","0","0","0","1","0","0","0","0"
26/07/2022,11:55:52,"0","0","0","0","0","1","0","0","0","0"
26/07/2022,11:55:53,"0","0","0","0","0","1","0","0","0","0"
26/07/2022,11:55:54,"0","0","0","0","0","1","0","0","0","0"
26/07/2022,11:55:55,"0","0","0","0","0","1","0","0","0","0"
26/07/2022,11:55:56,"0","0","0","0","0","1","0","0","0","0"
26/07/2022,11:55:57,"0","0","0","0","0","1","0","0","0","0"
26/07/2022,11:55:58,"0","0","0","0","0","1","0","0","0","0"
26/07/2022,11:55:59,"0","0","0","0","0","1","0","0","0","0"
26/07/2022,11:56:00,"0","0","0","0","0","1","0","0","0","0"
26/07/2022,11:56:01,"0","0","0","0","0","1","0","0","0","0"
26/07/2022,11:56:02,"0","0","0","0","0","1","0","0","0","0"
26/07/2022,11:56:03,"0","0","0","0","0","1","0","0","0","0"
26/07/2022,11:56:04,"0","0","0","0","0","1","0","0","0","0"
26/07/2022,11:56:05,"0","0","0","0","0","1","0","0","0","0"
26/07/2022,11:56:06,"0","0","0","0","0","1","0","0","0","0"
26/07/2022,11:56:07,"0","0","0","0","0","1","0","0","0","0"
26/07/2022,11:56:08,"0","0","0","0","0","1","0","0","0","0"
26/07/2022,11:56:09,"0","0","0","0","0","1","0","0","0","0"
26/07/2022,11:56:10,"0","0","0","0","0","1","0","0","0","0"
26/07/2022,11:56:11,"0","0","0","0","0","1","0","0","0","0"
26/07/2022,11:56:12,"0","0","0","0","0","1","0","0","0","0"
26/07/2022,11:56:13,"0","0","0","0","0","1","0","0","0","0"
26/07/2022,11:56:14,"0","0","0","0","0","1","0","0","0","0"
26/07/2022,11:56:15,"0","0","0","0","0","1","0","0","0","0"
26/07/2022,11:56:16,"0","0","0","0","0","1","0","0","0","0"
26/07/2022,11:56:17,"0","0","0","0","0","1","0","0","0","0"
26/07/2022,11:56:18,"0","0","0","0","0","1","0","0","0","0"
26/07/2022,11:56:19,"0","0","0","0","0","1","0","0","0","0"
26/07/2022,11:56:20,"0","0","0","0","0","1","0","0","0","0"
26/07/2022,11:56:21,"0","0","0","0","0","1","0","0","0","0"
26/07/2022,11:56:22,"0","0","0","0","0","1","0","0","0","0"
26/07/2022,11:56:23,"0","0","0","0","0","1","0","0","0","0"
26/07/2022,11:56:24,"0","0","0","0","0","1","0","0","0","0"
26/07/2022,11:56:25,"0","0","0","0","0","1","0","0","0","0"
26/07/2022,11:56:26,"0","0","0","0","0","1","0","0","0","0"
26/07/2022,11:56:27,"0","0","0","0","0","1","0","0","0","0"
26/07/2022,11:56:28,"0","0","0","0","0","1","0","0","0","0"
26/07/2022,11:56:29,"0","0","0","0","0","1","0","0","0","0"
26/07/2022,11:56:30,"0","0","0","0","0","1","0","0","0","0"
26/07/2022,11:56:31,"0","0","0","0","0","1","0","0","0","0"
26/07/2022,11:56:32,"0","0","0","0","0","1","0","0","0","0"
26/07/2022,11:56:33,"0","0","0","0","0","1","0","0","0","0"
26/07/2022,11:56:34,"0","0","0","0","0","1","0","0","0","0"
26/07/2022,11:56:35,"0","0","0","0","0","1","0","0","0","0"
26/07/2022,11:56:36,"0","0","0","0","0","1","0","0","0","0"
26/07/2022,11:56:37,"0","0","0","0","0","1","0","0","0","0"
26/07/2022,11:56:38,"0","0","0","0","0","1","0","0","0","0"
26/07/2022,11:56:39,"0","0","0","0","0","1","0","0","0","0"
26/07/2022,11:56:40,"0","0","0","0","0","1","0","0","0","0"
26/07/2022,11:56:41,"0","0","0","0","0","1","0","0","0","0"
26/07/2022,11:56:42,"0","0","0","0","0","1","0","0","0","0"
26/07/2022,11:56:43,"0","0","0","0","0","1","0","0","0","0"
26/07/2022,11:56:44,"0","0","0","0","0","1","0","0","0","0"
26/07/2022,11:56:45,"0","0","0","0","0","1","0","0","0","0"
26/07/2022,11:56:46,"0","0","0","0","0","1","0","0","0","0"
26/07/2022,11:56:47,"0","0","0","0","0","1","0","0","0","0"
26/07/2022,11:56:48,"0","0","0","0","0","1","0","0","0","0"
26/07/2022,11:56:49,"0","0","0","0","0","1","0","0","0","0"
26/07/2022,11:56:50,"0","0","0","0","0","1","0","0","0","0"
26/07/2022,11:56:51,"0","0","0","0","0","1","0","0","0","0"
26/07/2022,11:56:52,"0","0","0","0","0","1","0","0","0","0"
26/07/2022,11:56:53,"0","0","0","0","0","1","0","0","0","0"
26/07/2022,11:56:54,"0","0","0","0","0","1","0","0","0","0"
26/07/2022,11:56:55,"0","0","0","0","0","1","0","0","0","0"
26/07/2022,11:56:56,"0","0","0","0","0","1","0","0","0","0"
26/07/2022,11:56:57,"0","0","0","0","0","1","0","0","0","0"
26/07/2022,11:56:58,"0","0","0","0","0","1","0","0","0","0"
26/07/2022,11:56:59,"0","0","0","0","0","1","0","0","0","0"
26/07/2022,11:57:00,"0","0","0","0","0","1","0","0","0","0"
26/07/2022,11:57:01,"0","0","0","0","0","1","0","0","0","0"
26/07/2022,11:57:02,"0","0","0","0","0","1","0","0","0","0"
26/07/2022,11:57:03,"0","0","0","0","0","1","0","0","0","0"
26/07/2022,11:57:04,"0","0","0","0","0","1","0","0","0","0"
26/07/2022,11:57:05,"0","0","0","0","0","1","0","0","0","0"
26/07/2022,11:57:06,"0","0","0","0","0","1","0","0","0","0"
26/07/2022,11:57:07,"0","0","0","0","0","1","0","0","0","0"
26/07/2022,11:57:08,"0","0","0","0","0","1","0","0","0","0"
26/07/2022,11:57:09,"0","0","0","0","0","1","0","0","0","0"
26/07/2022,11:57:10,"0","0","0","0","0","1","0","0","0","0"
26/07/2022,11:57:11,"0","0","0","0","0","1","0","0","0","0"
26/07/2022,11:57:12,"0","0","0","0","0","1","0","0","0","0"
26/07/2022,11:57:13,"0","0","0","0","0","1","0","0","0","0"
26/07/2022,11:57:14,"0","0","0","0","0","1","0","0","0","0"
26/07/2022,11:57:15,"0","0","0","0","0","1","0","0","0","0"
26/07/2022,11:57:16,"0","0","0","0","0","1","0","0","0","0"
26/07/2022,11:57:17,"0","0","0","0","0","1","0","0","0","0"
26/07/2022,11:57:18,"0","0","0","0","0","1","0","0","0","0"
26/07/2022,11:57:19,"0","0","0","0","0","1","0","0","0","0"
26/07/2022,11:57:20,"0","0","0","0","0","1","0","0","0","0"
26/07/2022,11:57:21,"0","0","0","0","0","1","0","0","0","0"
26/07/2022,11:57:22,"0","0","0","0","0","1","0","0","0","0"
26/07/2022,11:57:23,"0","0","0","0","0","1","0","0","0","0"
26/07/2022,11:57:24,"0","0","0","0","0","1","0","0","0","0"
26/07/2022,11:57:25,"0","0","0","0","0","1","0","0","0","0"
26/07/2022,11:57:26,"0","0","0","0","0","1","0","0","0","0"
26/07/2022,11:57:27,"0","0","0","0","0","1","0","0","0","0"
26/07/2022,11:57:28,"0","0","0","0","0","1","0","0","0","0"
26/07/2022,11:57:29,"0","0","0","0","0","1","0","0","0","0"
26/07/2022,11:57:30,"0","0","0","0","0","1","0","0","0","0"
26/07/2022,11:57:31,"0","0","0","0","0","1","0","0","0","0"
26/07/2022,11:57:32,"0","0","0","0","0","1","0","0","0","0"
26/07/2022,11:57:33,"0","0","0","0","0","1","0","0","0","0"
26/07/2022,11:57:34,"0","0","0","0","0","1","0","0","0","0"
26/07/2022,11:57:35,"0","0","0","0","0","1","0","0","0","0"
26/07/2022,11:57:36,"0","0","0","0","0","1","0","0","0","0"
26/07/2022,11:57:37,"0","0","0","0","0","1","0","0","0","0"
26/07/2022,11:57:38,"0","0","0","0","0","1","0","0","0","0"
26/07/2022,11:57:39,"0","0","0","0","0","1","0","0","0","0"
26/07/2022,11:57:40,"0","0","0","0","0","1","0","0","0","0"
26/07/2022,11:57:41,"0","0","0","0","0","1","0","0","0","0"
26/07/2022,11:57:42,"0","0","0","0","0","1","0","0","0","0"
26/07/2022,11:57:43,"0","0","0","0","0","1","0","0","0","0"
26/07/2022,11:57:44,"0","0","0","0","0","1","0","0","0","0"
26/07/2022,11:57:45,"0","0","0","0","0","1","0","0","0","0"
26/07/2022,11:57:46,"0","0","0","0","0","1","0","0","0","0"
26/07/2022,11:57:47,"0","0","0","0","0","1","0","0","0","0"
26/07/2022,11:57:48,"0","0","0","0","0","1","0","0","0","0"
26/07/2022,11:57:49,"0","0","0","0","0","1","0","0","0","0"
26/07/2022,11:57:50,"0","0","0","0","0","1","0","0","0","0"
26/07/2022,11:57:51,"0","0","0","0","0","1","0","0","0","0"
26/07/2022,11:57:52,"0","0","0","0","0","1","0","0","0","0"
26/07/2022,11:57:53,"0","0","0","0","0","1","0","0","0","0"
26/07/2022,11:57:54,"0","0","0","0","0","1","0","0","0","0"
26/07/2022,11:57:55,"0","0","0","0","0","1","0","0","0","0"
